ID,Zip Code,Year Built,Price,Living Space (SQFT),Lot Space (SQFT),Bedrooms,Bathrooms,Number of Floors,Basement,Waterfront
1499,98116,2014,1218000,3470,4750,4,3,2,Yes,No
5881,98039,2014,3418800,5450,20412,5,5,2,No,Yes
6035,98109,2014,680000,1450,989,2,2,3,No,No
9452,98122,2014,500000,1560,1156,3,2,3,No,Yes
15670,98112,2014,570000,1140,690,2,2,2,Yes,No
17246,98033,2014,1454000,4070,11334,5,4,2,No,Yes
17664,98155,2014,559950,2730,9519,5,3,1,Yes,No
19648,98052,2014,1040890,4180,7232,5,4,2,No,No
19702,98107,2014,657000,1570,1281,2,3,3,No,No
19812,98074,2014,949990,3970,7314,4,4,2,No,No
19838,98075,2014,1255780,4180,12042,5,4,2,No,No
19936,98122,2014,515000,1560,1020,3,2,3,No,Yes
20022,98144,2014,429900,1490,1286,3,2,3,No,No
20023,98136,2014,459000,1480,800,3,2,2,Yes,Yes
20025,98117,2014,566950,1730,1902,3,3,3,No,Yes
20163,98001,2014,370228,2050,4000,4,3,2,No,No
20212,98168,2014,347500,2230,6551,5,3,1,Yes,No
20473,98042,2014,479349,3223,6371,5,3,2,No,Yes
20568,98109,2014,700000,1490,713,2,2,3,No,No
20570,98052,2014,1299890,3870,5929,5,4,2,No,Yes
20577,98126,2014,479950,1820,1358,3,2,3,No,Yes
20619,98112,2014,610000,1210,740,2,2,2,Yes,No
20656,98074,2014,859950,3180,6551,6,4,2,No,Yes
20687,98022,2014,256703,1670,4441,3,2,1,No,No
20770,98109,2014,1112000,2770,2650,4,3,2,Yes,No
20789,98126,2014,469950,1820,1357,3,2,3,No,Yes
20793,98112,2014,699999,1460,1085,2,2,2,Yes,No
20876,98059,2014,639983,2800,5700,5,3,2,No,Yes
20907,98001,2014,274900,1936,6612,3,2,2,No,No
20926,98022,2014,246950,1670,4440,3,3,1,No,No
20936,98117,2014,577450,1730,1755,3,3,3,No,No
20953,98122,2014,549900,1280,960,3,2,2,Yes,Yes
21000,98001,2014,353500,2050,4000,4,3,2,No,Yes
21013,98065,2014,589410,2840,7201,3,3,2,No,Yes
21159,98075,2014,1065000,3370,8252,3,4,2,No,Yes
21205,98075,2014,1061600,2990,6695,4,3,2,No,Yes
21221,98136,2014,372000,1330,1042,3,2,2,Yes,Yes
21234,98042,2014,469950,3223,6371,5,3,2,No,No
21257,98022,2014,249950,1670,4438,3,2,1,No,Yes
21359,98059,2014,519995,2590,6160,4,3,2,No,Yes
21413,98168,2014,334950,2230,8642,5,3,1,Yes,Yes
21487,98024,2014,1459000,4620,130208,4,4,2,No,No
21523,98118,2014,462500,2390,4000,6,3,2,No,Yes
21575,98103,2014,610950,1680,1570,3,3,3,No,No
21605,98144,2014,429000,1490,1126,3,2,3,No,No
