Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture
7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,83.58,0
7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,83.58,0.11
7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,83.58,0.11
7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58,0.12
7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,0.11
7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,83.58,0.12
7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,83.5,0
7.58,7.58,7.17,7.17,7,7,10,10,10,10,83.5,0.11
7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,83.5,0
7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,83.5,0
7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.5,0.1
7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,83.5,0.12
7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,83.5,0.13
7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,83.5,0.13
7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,83.5,0.1
7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67,83.5,0
8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,83.5,0.11
7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,83.5,0.1
7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,83.5,0
7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,83.5,0.1
7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,83.5,0
7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58,83.5,0.11
7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,83.5,0.13
7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,83.5,0.11
7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,83.5,0.12
7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,83.5,0.1
7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,83.5,0.11
7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,83.5,0
7.5,7.67,7.58,7.92,7.58,7.67,10,10,10,7.58,83.5,0.01
7.83,7.58,7.58,7.58,7.75,7.58,10,10,10,7.58,83.5,0
7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,83.42,0
7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,83.42,0.1
7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,83.42,0.11
7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,83.42,0.09
7.67,7.67,7,7.08,7,7,10,10,10,10,83.42,0.11
7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,83.42,0.11
7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,83.42,0.13
7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,7.58,83.42,0.11
7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,83.42,0.12
7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,83.42,0.12
7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,83.42,0.13
7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,83.42,0.12
7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,83.42,0.1
7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,83.42,0.1
7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,83.42,0.11
7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,83.42,0
7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,83.42,0.11
7.58,7.58,7.58,7.67,7.75,7.67,10,10,10,7.58,83.42,0.1
7.5,7.92,7.42,7.67,7.83,7.58,10,10,10,7.5,83.42,0.01
7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,7.83,83.42,0.11
7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,8,83.38,0.09
7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,83.33,0
7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,83.33,0
7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.33,0
7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,83.33,0.1
7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,83.33,0.12
7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,83.33,0.11
7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,83.33,0.12
7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,83.33,0.12
7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,83.33,0.12
7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,83.33,0.11
7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,83.33,0.11
7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,7.5,83.33,0.12
7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,83.33,0.11
7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,83.33,0.11
7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,83.33,0.11
7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,83.33,0.1
7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,83.33,0
7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,83.33,0
8.08,7.83,7.83,7.75,7.67,7.58,9.33,10,9.33,7.92,83.33,0.01
7.58,7.67,7.58,7.5,7.83,7.67,10,10,10,7.5,83.33,0
7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,83.25,0.11
7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,83.25,0.11
7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,83.25,0.11
7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,83.25,0.11
7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,7.67,83.25,0.12
7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,83.25,0.12
7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,83.25,0
7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,83.25,0.12
7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,83.25,0.1
7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,83.25,0.1
7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,83.25,0
7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,83.25,0.1
7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,83.25,0.11
7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,83.25,0.12
7.58,7.75,7.83,8,8.08,7.67,9.33,10,9.33,7.67,83.25,0.11
7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.25,0.13
7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,83.25,0.12
7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,83.25,0.11
7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,83.25,0.11
7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,83.25,0.12
7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,83.25,0.11
7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,7.5,83.25,0.08
8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,83.25,0.13
7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,83.25,0.04
7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,83.17,0.11
7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,83.17,0.1
7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,83.17,0.12
7.92,7.5,7.5,7.58,7.67,7.5,10,10,10,7.5,83.17,0.11
7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,83.17,0.07
7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,83.17,0.11
7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11
7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,83.17,0.11
7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,83.17,0.1
7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,83.17,0
7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,83.17,0.11
7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,83.17,0.12
7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,83.17,0.1
7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,83.17,0.12
7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,83.17,0.13
7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,83.17,0
8,7.67,7.5,7.42,7.33,7.58,10,10,10,7.67,83.17,0.1
7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,7.58,83.17,0.11
7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,83.17,0.1
7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11
7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,83.17,0.09
7.5,7.5,7.58,7.42,7.92,7.67,10,10,10,7.58,83.17,0.11
7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,83.17,0.12
7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11
7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,83.17,0.11
7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,7.67,83.17,0.12
7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,7.67,83.17,0.14
7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,7.25,83.17,0.11
7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,7.58,83.17,0.13
7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,7.5,83.17,0.11
7.5,7.75,7.58,7.58,7.67,7.5,10,10,10,7.58,83.17,0.11
7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,7.5,83.17,0.12
7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,83.17,0.11
7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,7.5,83.17,0
7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,7.58,83.17,0.12
7.58,7.75,7.67,7.5,7.67,7.58,10,10,10,7.42,83.17,0.02
7.42,7.83,8.17,8.08,7.17,7.58,10,9.33,10,7.58,83.17,0.14
7.75,8,7.67,8.08,7.83,7.92,9.33,9.33,9.33,7.92,83.17,0.01
7.58,7.67,7.33,7.67,7.75,7.58,10,10,10,7.5,83.08,0
7.75,7.5,7.5,7.42,8,7.75,10,10,10,7.17,83.08,0
7.58,7.58,7.58,7.5,7.67,7.58,10,10,10,7.58,83.08,0.11
7.33,7.67,7.67,7.33,7.75,7.42,10,10,10,7.92,83.08,0
7.83,7.92,7.5,7.83,7.67,7.25,9.33,10,10,7.75,83.08,0
7.42,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,83.08,0.11
7.58,7.83,7.67,7.42,7.42,7.5,10,10,10,7.67,83.08,0
7.83,7.33,7.5,7.67,7.58,7.67,10,10,10,7.5,83.08,0.1
7.33,7.75,7.58,7.33,7.83,7.67,10,10,10,7.58,83.08,0.12
7.75,7.75,7.5,7.5,7.5,7.5,10,10,10,7.58,83.08,0.11
7.83,7.83,7.33,7.17,7.75,7.67,10,10,10,7.5,83.08,0.1
7.75,7.67,7.42,7.75,7.5,7.5,10,10,10,7.5,83.08,0.1
7.67,7.58,7.5,7.67,7.92,8,9.33,9.33,10,8.08,83.08,0
7.33,7.58,7.58,7.92,7.67,7.58,10,10,10,7.42,83.08,0.12
7.33,7.33,7.33,7.58,7.25,8.08,10,10,10,8.17,83.08,0.01
7.83,7.75,7.33,7.25,7.42,7.92,10,10,10,7.58,83.08,0.08
7.67,7.58,7.5,7.58,7.67,7.58,10,10,10,7.5,83.08,0
7.92,7.67,7.67,7.25,7.83,7.67,9.33,10,10,7.75,83.08,0.02
7.58,7.5,7.5,7.75,7.67,7.5,10,10,10,7.5,83,0
7.5,7.58,7.58,7.67,7.58,7.5,10,10,10,7.58,83,0.11
7.5,7.67,7.58,7.67,7.58,7.42,10,10,10,7.58,83,0.11
7.67,7.58,7.42,7.42,7.83,7.5,10,10,10,7.58,83,0.12
7.67,7.67,7.5,7.58,7.42,7.5,10,10,10,7.67,83,0.12
7.67,7.67,7.33,7.67,7.5,7.58,10,10,10,7.58,83,0.11
7.75,7.67,7.58,7.58,7.42,7.67,9.33,10,10,8,83,0
7.67,7.75,7.33,7.92,7.42,7.5,10,10,10,7.42,83,0.11
7.75,7.67,7.33,7.75,7.5,7.42,10,10,10,7.58,83,0.11
7.83,7.67,7.25,7.67,7.75,7.5,10,10,10,7.33,83,0.11
7.67,7.67,7.67,7.5,7.42,7.5,10,10,10,7.58,83,0
7.92,7.92,7.83,7.58,7.33,7.25,10,10,10,7.17,83,0.08
7.83,7.58,7.5,7.5,7.58,7.5,10,10,10,7.5,83,0.12
7.67,7.5,7.67,7.83,7.75,7.83,10,10,9.33,7.42,83,0
7.67,7.67,7.42,7.83,7.5,7.5,10,10,10,7.42,83,0.1
7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7.67,83,0.11
7.75,7.58,7.42,7.67,7.42,7.67,10,10,10,7.5,83,0.12
7.75,7.42,7.33,7.5,7.58,7.17,10,10,10,8.25,83,0.11
7.83,7.5,7.58,7.33,7.5,7.67,10,10,10,7.58,83,0
7.33,7.67,7.75,7.42,7.75,7.58,10,10,10,7.5,83,0.11
7.58,7.75,7.42,7.67,7.58,7.42,10,10,10,7.58,83,0
7.5,7.5,7.42,7.58,7.75,7.58,10,10,10,7.67,83,0.11
7.67,7.58,7.42,7.5,7.67,7.58,10,10,10,7.58,83,0.11
7.67,7.83,7.5,7.58,7.58,7.67,9.33,10,10,7.83,83,0.11
7.5,7.67,7.5,7.5,7.58,7.58,10,10,10,7.67,83,0.11
7.67,7.58,7.5,7.5,7.75,7.5,10,10,10,7.5,83,0
7.75,7.58,7.5,7.67,7.83,7.75,9.33,10,10,7.58,83,0
7.67,7.58,7.58,7.58,7.67,7.42,10,10,10,7.5,83,0.11
7.5,7.67,7.5,7.67,7.5,7.83,10,10,10,7.33,83,0.1
7.67,7.67,7.58,7.5,7.67,7.42,10,10,10,7.5,83,0.12
7.33,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,83,0.28
7.33,7.67,7.58,7.33,7.58,7.92,10,10,10,7.58,83,0.08
7.83,7.83,7.67,7.83,7.92,7.83,9.33,9.33,9.33,8.08,83,0
7.5,7.58,7.42,7.58,7.58,7.67,10,10,10,7.67,83,0
7.5,7.58,7.67,7.67,7.58,7.58,10,10,10,7.42,83,0.06
7.58,7.83,7.75,7.92,7.92,8.08,9.33,9.33,9.33,7.92,83,0.07
7.5,7.25,7.42,7.75,8.17,7.5,10,10,10,7.42,83,0
7.67,7.58,7.5,7.58,7.58,7.5,10,10,10,7.5,82.92,0
7.5,7.5,7.75,7.58,7.92,7.83,10,10,9.33,7.5,82.92,0
7.58,7.67,7.5,7.33,7.67,7.58,10,10,10,7.58,82.92,0.11
7.17,7.83,7.25,7.67,7.67,7.58,10,10,10,7.75,82.92,0.09
7.58,7.58,7.5,7.5,7.58,7.58,10,10,10,7.58,82.92,0
7.5,7.58,7.67,7.33,7.5,7.75,10,10,10,7.58,82.92,0
7.58,7.58,7.67,7.58,7.5,7.5,10,10,10,7.5,82.92,0.11
8.08,7.5,7.67,7.42,7.33,7.5,10,10,10,7.42,82.92,0
7.83,7.67,7.25,7.58,7.5,7.5,10,10,10,7.58,82.92,0.13
7.75,7.67,7.42,7.42,7.75,7.5,10,10,10,7.42,82.92,0.12
7.08,7.5,7.5,7.83,7.75,7.67,10,10,10,7.58,82.92,0.11
8,7.5,7.5,7.58,7.33,7.42,10,10,10,7.58,82.92,0.12
7.75,7.58,7.58,7.5,7.5,7.5,10,10,10,7.5,82.92,0.12
7.75,7.5,7.42,7.58,7.67,7.5,10,10,10,7.5,82.92,0.1
7.67,7.83,7.42,7.5,7.33,7.5,10,10,10,7.67,82.92,0.1
7.58,7.58,7.25,7.58,7.58,7.58,10,10,10,7.75,82.92,0.1
7.58,7.5,7.75,7.33,7.58,7.58,10,10,10,7.58,82.92,0.11
7.75,7.5,7.25,7.5,7.75,7.5,10,10,10,7.67,82.92,0
7.83,7.75,7.25,7.92,7.5,7.17,10,10,10,7.5,82.92,0.11
7.83,7.67,7.42,7.42,7.5,7.58,10,10,10,7.5,82.92,0.11
7.58,7.58,7.33,7.25,7.58,7.75,10,10,10,7.83,82.92,0.1
7.67,7.33,7.17,7.58,8.08,7.42,10,10,10,7.67,82.92,0
8,7.92,7.67,7.17,7.67,7.42,9.33,10,10,7.75,82.92,0.14
7.5,7.5,7.5,7.42,7.67,7.83,10,10,10,7.5,82.92,0.1
7.5,7.75,7.33,7.75,7.08,7.83,10,10,10,7.67,82.92,0.15
7.42,7.58,7.5,7.17,7.5,8,10,10,10,7.75,82.92,0
7.75,7.58,7.42,7.58,7.5,7.5,10,10,10,7.5,82.83,0.1
7.5,7.58,7.33,7.67,7.58,7.58,10,10,10,7.58,82.83,0.11
7.67,7.58,7.58,7.5,7.5,7.42,10,10,10,7.58,82.83,0.11
7.33,7.67,7.67,7.83,7.33,7.67,10,10,10,7.33,82.83,0
7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8,82.83,0.11
7.25,7.58,7.5,7.42,7.75,7.42,10,10,10,7.92,82.83,0.11
7.58,7.58,7.33,7.67,7.67,7.5,10,10,10,7.5,82.83,0.11
7.58,7.83,7.33,7.67,7.42,7.33,10,10,10,7.67,82.83,0.12
7.83,7.67,7.5,7.58,7.5,7.67,10,10,10,7.08,82.83,0
7.42,7.58,7.25,7.5,7.75,7.75,10,10,10,7.58,82.83,0
7.67,7.67,7.75,7.67,7.42,7.17,10,10,10,7.5,82.83,0.1
7.5,7.42,7.58,7.5,7.58,7.58,10,10,10,7.67,82.83,0
7.83,7.5,7.5,7.42,7.5,7.5,10,10,10,7.58,82.83,0.11
7.67,7.5,7.33,7.25,7.58,7.75,10,10,10,7.75,82.83,0.11
7.58,7.67,7.5,7.58,7.5,7.5,10,10,10,7.5,82.83,0.12
7.67,7.58,7.42,7.75,7.42,7.42,10,10,10,7.58,82.83,0.12
7.67,7.67,7.33,7.5,7.33,7.92,10,10,10,7.42,82.83,0.11
7.58,7.58,7.5,7.42,7.67,7.58,10,10,10,7.5,82.83,0.11
7.75,7.58,7.75,7.75,7.25,7.5,10,10,10,7.25,82.83,0
7.5,7.58,7.42,7.67,7.58,7.5,10,10,10,7.5,82.75,0.1
7.58,7.67,7.5,7.58,7.5,7.42,10,10,10,7.5,82.75,0.11
7.5,7.67,7.17,7.67,7.67,7.58,10,10,10,7.5,82.75,0.11
7.5,7.5,7.42,7.58,7.67,7.5,10,10,10,7.58,82.75,0.1
7.42,7.58,7.42,7.67,7.5,7.5,10,10,10,7.67,82.75,0.1
7.5,7.58,7.42,7.58,7.58,7.5,10,10,10,7.58,82.75,0.12
7.58,7.58,7.33,7.58,7.33,7.67,10,10,10,7.67,82.75,0.12
7.83,7.67,7.33,7.67,7.58,7.67,9.33,10,10,7.67,82.75,0
7.67,7.67,7.17,7.33,7.58,7.67,10,10,10,7.67,82.75,0
7.58,7.5,7.42,7.67,7.42,7.5,10,10,10,7.67,82.75,0.09
7.58,7.5,7.42,7.58,7.5,7.5,10,10,10,7.67,82.75,0.09
7.5,7.5,7.58,7.5,7.58,7.58,10,10,10,7.5,82.75,0.11
7.67,7.5,7.33,7.33,7.67,7.67,10,10,10,7.58,82.75,0.1
7.5,7.67,7.42,7.67,7.5,7.5,10,10,10,7.5,82.75,0.11
7.5,7.58,7.58,7.75,7.33,7.5,10,10,10,7.5,82.75,0
7.75,7.58,7.42,7.5,7.33,7.5,10,10,10,7.67,82.75,0.12
7.75,7.42,7.25,7.75,7.5,7.67,10,10,10,7.42,82.75,0.13
7.67,7.42,7.42,7.58,7.33,7.67,10,10,10,7.67,82.75,0.12
7.67,7.58,7.42,7.83,7.33,7.5,10,10,10,7.42,82.75,0.1
7.58,7.83,7.75,7.75,7.42,8,9.33,9.33,10,7.75,82.75,0.1
7.58,7.33,7.17,7.33,7.25,8.58,10,10,10,7.5,82.75,0.1
7.58,7.58,7.5,7.5,7.5,7.5,10,10,10,7.58,82.75,0.12
7.58,7.58,7.33,7.75,7.25,7.58,10,10,10,7.67,82.75,0.12
8.08,8.17,8,8,7.83,7.92,6.67,10,10,8.08,82.75,0.12
7.5,7.58,7.42,7.67,7.5,7.58,10,10,10,7.5,82.75,0
7.67,7.58,7.58,7.58,7.5,7.42,10,10,10,7.42,82.75,0.11
7.25,7.75,7.5,7.83,7.67,7.67,9.33,10,10,7.75,82.75,0.12
7.42,7.42,7.5,7.58,7.5,7.75,10,10,10,7.58,82.75,0
7.75,7.67,7.5,7.83,7.17,7.42,10,10,10,7.42,82.75,0
7.5,7.58,7.25,7.75,7.58,7.5,10,10,10,7.5,82.67,0
7.5,7.58,7.5,7.67,7.5,7.42,10,10,10,7.5,82.67,0.11
7.67,7.67,7.42,7.42,7.42,7.5,10,10,10,7.58,82.67,0.13
7.67,7.67,7.67,7.67,7.5,7.67,10,10,9.33,7.5,82.67,0
7.5,7.67,7.42,7.75,7.42,7.17,10,10,10,7.75,82.67,0.11
7.75,7.5,7.33,7.58,7.33,7.75,10,10,10,7.42,82.67,0
7.58,7.5,7.42,7.67,7.5,7.5,10,10,10,7.5,82.67,0
7.33,7.5,7.58,7.58,7.67,7.5,10,10,10,7.5,82.67,0.12
7.5,7.5,7.5,7.5,7.5,7.58,10,10,10,7.58,82.67,0.12
7.58,7.5,7.5,7.58,7.33,7.58,10,10,10,7.58,82.67,0.12
8,7.83,7.83,7.42,7.25,7.25,10,10,10,7.08,82.67,0.08
7.67,7.58,7.42,7.5,7.42,7.5,10,10,10,7.58,82.67,0.11
7.67,7.5,7.33,7.67,7.5,7.5,10,10,10,7.5,82.67,0.12
7.67,7.5,7.5,7.5,7.5,7.5,10,10,10,7.5,82.67,0.11
7.42,7.5,7.5,7.67,7.58,7.5,10,10,10,7.5,82.67,0.11
7.75,7.58,7.67,7.25,7.58,7.42,10,10,10,7.42,82.67,0.11
7.92,8,7.5,6.75,7.92,7.58,10,10,9.33,7.67,82.67,0
7.67,7.67,7.17,7.67,7.5,7.5,10,10,10,7.5,82.67,0.11
7.83,7.33,7.83,7.33,7.58,7.83,10,10,9.33,7.58,82.67,0.12
7.58,7.58,7.42,7.58,7.42,7.5,10,10,10,7.58,82.67,0.11
7.5,7.58,7.58,7.58,7.42,7.42,10,10,10,7.58,82.67,0.12
7.33,7.58,7.42,7.42,7.67,7.67,10,10,10,7.58,82.67,0.11
7.83,7.67,7.5,7.67,7.5,7.58,10,10,9.33,7.58,82.67,0.03
7.75,7.58,7.25,7.75,7.67,7.58,10,10,10,7.08,82.67,0
8.08,7.67,7.67,7.33,7.33,7.17,10,10,10,7.42,82.67,0.08
7.5,7.42,7.33,7.33,7.67,7.83,10,10,10,7.58,82.67,0.21
7.5,7.42,7.42,7.75,7.5,7.5,10,10,10,7.5,82.58,0.1
7.67,7.42,7.5,7.42,7.58,7.5,10,10,10,7.5,82.58,0.11
7.5,7.58,7.42,7.5,7.75,7.33,10,10,10,7.5,82.58,0.11
7.25,7.25,7,7.08,7,7,10,10,10,10,82.58,0.11
7.42,7.42,7.5,7.33,7.25,7.67,10,10,10,8,82.58,0
7.83,7.58,7.42,7.33,7.42,7.5,10,10,10,7.5,82.58,0.13
7.75,7.33,7.42,7.67,7.42,7.5,10,10,10,7.5,82.58,0.12
7.42,7.58,7.58,7.42,7.58,7.5,10,10,10,7.5,82.58,0.12
7.75,7.42,7.33,7.5,7.58,7.5,10,10,10,7.5,82.58,0.12
7.83,7.5,7.42,7.58,7.42,7.42,10,10,10,7.42,82.58,0.12
7.67,7.42,7.5,7.67,7,7.75,10,10,10,7.58,82.58,0.11
7.58,7.58,7.42,7.75,7.67,7.67,9.33,10,10,7.58,82.58,0
7.5,7.58,7.42,7.58,7.42,7.58,10,10,10,7.5,82.58,0
7.75,7.25,7.33,7.42,7.5,7.83,10,10,10,7.5,82.58,0.11
7.75,7.5,7.75,7.25,7.33,7.58,10,10,10,7.42,82.58,0.11
7.58,7.5,7.42,7.58,7.67,7.42,10,10,10,7.42,82.58,0.11
7.5,7.58,7.5,7.5,7.42,7.5,10,10,10,7.58,82.58,0.1
7.67,7.58,7.58,7.75,7.67,6.83,10,10,10,7.5,82.58,0.12
7.33,7.42,7.58,7.42,7.67,7.5,10,10,10,7.67,82.58,0.11
7.58,7.5,7.33,7.75,7.5,7.5,10,10,10,7.42,82.58,0
7.5,7.5,7.5,7.5,7.58,7.5,10,10,10,7.42,82.5,0.11
7.83,7.75,7.25,7.5,7.42,7.33,10,10,10,7.42,82.5,0.11
7.58,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,82.5,0.1
7.5,7.5,7.33,7.5,7.67,7.5,10,10,10,7.5,82.5,0.1
7.5,7.83,7.5,7.75,7.33,7.42,9.33,10,10,7.83,82.5,0.12
7.33,7.5,7.5,7.5,7.67,7.5,10,10,10,7.5,82.5,0.11
7.67,7.42,7.33,7.58,7.5,7.5,10,10,10,7.5,82.5,0.12
7.75,7,7.42,7.58,7.58,7.58,10,10,10,7.58,82.5,0.12
7.42,7.58,7.5,7.67,7.25,7.5,10,10,10,7.58,82.5,0
7.42,7.5,7.67,7.33,7.42,7.67,10,10,10,7.5,82.5,0.11
7.83,7.42,7.33,7.67,7.42,7.5,10,10,10,7.33,82.5,0.12
7.5,7.5,7.42,7.42,7.58,7.58,10,10,10,7.5,82.5,0.11
7.83,7.67,7.17,7.33,7.5,7.67,10,10,10,7.33,82.5,0.11
7.5,7.58,7.5,7.5,7.42,7.42,10,10,10,7.58,82.5,0.13
7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.5,82.5,0.12
7.92,7.5,7.33,7.58,7.25,7.42,10,10,10,7.5,82.5,0.11
7.67,7.33,7.33,7.33,7.5,7.83,10,10,10,7.5,82.5,0.11
7.67,7.42,7.33,7.67,7.5,7.5,10,10,10,7.42,82.5,0
7.67,7.5,7.33,7.5,7.25,7.67,10,10,10,7.58,82.5,0.11
7.33,7.42,7.33,7.75,7.42,7.67,10,10,10,7.58,82.5,0.12
7.75,7.58,7.67,7.67,7.58,7.58,9.33,10,10,7.33,82.5,0.01
7.42,7.67,7.17,7.58,7.58,7.5,10,10,10,7.5,82.42,0.12
7.58,7.5,7.33,7.75,7.33,7.5,10,10,10,7.42,82.42,0.1
7.67,7.58,7.25,7.67,7.42,7.33,10,10,10,7.5,82.42,0.12
7.58,7.5,7.25,7.67,7.5,7.5,10,10,10,7.42,82.42,0.12
7.5,7.42,7.08,7.75,7.67,7.5,10,10,10,7.5,82.42,0.11
7.67,7.42,7.42,7.5,7.42,7.42,10,10,10,7.58,82.42,0.1
7.42,7.5,7.33,7.5,7.25,7.42,10,10,10,8,82.42,0.11
